rank,feature,importance_gain,importance_split,permutation_importance
59,log_rev_lag_30,1.0329706582706422,15,0.00040411933193764684
60,log_rev_roll_ema_30,1.006759900599718,7,0.00011007349215761409
61,log_rev_lag_3,0.9390693176537752,8,-0.0007421983938781906
62,log_rev_lag_60,0.7840319467941299,11,0.00015183870509272168
63,log_rev_roll_mean_30,0.6608490834478289,5,0.0014227520887735601
64,rev_lag_3,0.5874903053045273,9,-0.0029261995159437504
65,aov_lag_2,0.5127895940095186,12,-2.956826181019778e-05
66,customers_lag_3,0.5124105866998434,6,0.0020586438056652057
67,orders_lag_28,0.5100820064544678,1,0.0
68,quarter,0.4583919942378998,1,0.0
69,log_rev_roll_max_14,0.3589269742369652,3,0.0
70,rev_lag_28,0.33596310392022133,5,-2.945189880687593e-05
71,customers_lag_28,0.3191529279574752,10,-0.00018082251193138888
72,customers_lag_30,0.2880012398818508,5,-1.6974319468499032e-05
73,customers_lag_60,0.261782992631197,2,0.0
74,log_rev_roll_max_30,0.24599423352628946,2,0.0009375090795841423
75,log_rev_roll_ema_60,0.23761069402098656,3,-9.099677731594368e-06
76,log_rev_roll_min_60,0.19104799628257751,1,-0.00029535789148251725
77,customers_lag_14,0.18975850008428097,4,-2.9746247082496068e-05
78,orders_lag_3,0.16659150086343288,4,0.0007563924399365263
79,orders_lag_14,0.16613020841032267,3,-2.8678104498158775e-05
80,week_of_year,0.07661190070211887,2,0.0
81,rev_roll_mean_14,0.0704290010035038,2,6.771567512053878e-07
82,log_rev_roll_mean_90,0.06420044973492622,3,-0.003606521483459346
83,rev_lag_60,0.0630110916972626,3,2.0479181563004546e-06
84,rev_roll_mean_30,0.05098479986190796,1,4.5331553076621844e-05
85,rev_lag_90,0.042846969328820705,3,1.958738594582954e-05
86,month_sin,0.039769601076841354,1,5.8660907161112165e-06
87,rev_roll_mean_60,0.037690961733460426,2,-8.17350158071939e-05
88,log_rev_roll_mean_14,0.030637100338935852,1,0.0
89,log_rev_roll_min_30,0.0,0,0.0
90,christmas_season,0.0,0,0.0
91,month,0.0,0,0.0
92,month_start,0.0,0,0.0
93,month_end,0.0,0,0.0
94,customers_prev_day,0.0,0,0.0
95,quarter_start,0.0,0,0.0
96,quarter_end,0.0,0,0.0
97,day_cos,0.0,0,0.0
98,log_rev_roll_max_90,0.0,0,0.0
99,log_rev_roll_min_90,0.0,0,0.0
100,rev_lag_14,0.0,0,0.0
101,rev_roll_mean_90,0.0,0,0.0
102,log_rev_roll_min_14,0.0,0,0.0
103,fathers_day,0.0,0,0.0
104,log_rev_roll_max_60,0.0,0,0.0
105,mothers_day,0.0,0,0.0
106,month_cos,0.0,0,0.0
107,new_year_day,0.0,0,0.0
108,black_friday_week,0.0,0,0.0
109,year,0.0,0,0.0
