order_date,actual_revenue,predicted_revenue,pred_lower_95,pred_upper_95,residual,abs_error,pct_error,month_period
2018-07-13,32529.4,20644.68011333748,5726.441618427367,35562.91860824759,11884.719886662522,11884.719886662522,36.535318470867956,2018-07
2018-07-14,26427.02,19375.9549845968,4457.716489686687,34294.19347950691,7051.065015403201,7051.065015403201,26.681271726449673,2018-07
2018-07-15,34489.4,22194.026473823604,7275.787978913491,37112.26496873372,12295.373526176398,12295.373526176398,35.64971709039994,2018-07
2018-07-16,37778.13,29361.567904488827,14443.329409578715,44279.80639939894,8416.56209551117,8416.56209551117,22.27892724047265,2018-07
2018-07-17,35758.41,36678.96433273558,21760.72583782547,51597.20282764569,-920.5543327355772,920.5543327355772,2.574371547100604,2018-07
2018-07-18,48984.15,30974.00849615091,16055.770001240797,45892.24699106102,18010.141503849092,18010.141503849092,36.76728391499922,2018-07
2018-07-19,44911.24,40035.97974615136,25117.74125124125,54954.21824106147,4875.260253848639,4875.260253848639,10.85532319715207,2018-07
2018-07-20,38061.85,34006.90635371838,19088.667858808272,48925.14484862849,4054.9436462816157,4054.9436462816157,10.653564254710728,2018-07
2018-07-21,25502.08,31167.485441243847,16249.246946333735,46085.72393615396,-5665.405441243845,5665.405441243845,22.21546415525261,2018-07
2018-07-22,32962.26,32025.484013284404,17107.245518374293,46943.722508194514,936.7759867155983,936.7759867155983,2.84196528610477,2018-07
2018-07-23,47975.62,38605.94254486393,23687.70404995382,53524.18103977404,9369.677455136072,9369.677455136072,19.53008101851747,2018-07
2018-07-24,48083.44,42802.05163859423,27883.81314368412,57720.29013350434,5281.38836140577,5281.38836140577,10.983798915813365,2018-07
2018-07-25,47912.59,38974.37296942093,24056.13447451082,53892.61146433104,8938.217030579064,8938.217030579064,18.65525748154935,2018-07
2018-07-26,41784.72,41359.46122301641,26441.222728106302,56277.69971792652,425.2587769835882,425.2587769835882,1.0177375293733886,2018-07
2018-07-27,33331.13,37713.79954282568,22795.561047915573,52632.038037735794,-4382.669542825686,4382.669542825686,13.14887776929761,2018-07
2018-07-28,30065.12,29050.68243251535,14132.443937605238,43968.92092742546,1014.4375674846488,1014.4375674846488,3.374134437130631,2018-07
2018-07-29,36468.28,29197.042909106196,14278.804414196084,44115.28140401631,7271.237090893803,7271.237090893803,19.938524906833564,2018-07
2018-07-30,45814.02,36742.87021625244,21824.63172134233,51661.10871116255,9071.149783747554,9071.149783747554,19.799942864100455,2018-07
2018-07-31,53402.24,40098.456175040184,25180.217680130074,55016.694669950295,13303.783824959814,13303.783824959814,24.91240784086925,2018-07
2018-08-01,48431.03,42679.141327023,27760.902832112886,57597.37982193311,5751.888672977002,5751.888672977002,11.876453325434131,2018-08
2018-08-02,45625.66,43128.03012542767,28209.79163051756,58046.26862033778,2497.6298745723325,2497.6298745723325,5.474178071226437,2018-08
2018-08-03,49517.58,41888.54812008832,26970.30962517821,56806.78661499843,7629.031879911679,7629.031879911679,15.40671389819874,2018-08
2018-08-04,41227.8,37887.26402056895,22969.025525658843,52805.502515479064,3340.53597943105,3340.53597943105,8.1026297290446,2018-08
2018-08-05,42272.07,34342.92918744537,19424.69069253526,49261.16768235548,7929.1408125546295,7929.1408125546295,18.757398945816067,2018-08
2018-08-06,65860.42,40843.53691675769,25925.298421847576,55761.7754116678,25016.883083242312,25016.883083242312,37.98470019359475,2018-08
2018-08-07,58294.38,42190.62137671633,27272.382881806217,57108.85987162644,16103.75862328367,16103.75862328367,27.624890466771703,2018-08
2018-08-08,51360.5,42818.780659693315,27900.542164783204,57737.019154603426,8541.719340306685,8541.719340306685,16.63091157661371,2018-08
2018-08-09,46734.86,42483.11555894842,27564.877064038308,57401.35405385853,4251.744441051582,4251.744441051582,9.097586771526824,2018-08
2018-08-10,39585.29,42617.73728258549,27699.49878767538,57535.9757774956,-3032.44728258549,3032.44728258549,7.6605407781160375,2018-08
2018-08-11,30565.73,31944.1843730792,17025.945878169085,46862.42286798931,-1378.4543730791993,1378.4543730791993,4.50980353840461,2018-08
2018-08-12,36739.75,30827.57275248975,15909.334257579636,45745.81124739986,5912.177247510252,5912.177247510252,16.09204539364109,2018-08
2018-08-13,45876.91,39286.14705633437,24367.908561424258,54204.38555124448,6590.762943665635,6590.762943665635,14.36618757380485,2018-08
2018-08-14,51471.37,44137.31178825192,29219.07329334181,59055.55028316203,7334.058211748081,7334.058211748081,14.248810963741748,2018-08
2018-08-15,52358.65,41678.37995115828,26760.141456248166,56596.61844606839,10680.270048841725,10680.270048841725,20.39829149308037,2018-08
2018-08-16,42217.31,40550.746408292216,25632.507913382105,55468.98490320233,1666.5635917077816,1666.5635917077816,3.9475835663328187,2018-08
2018-08-17,37638.99,40867.06062011566,25948.822125205552,55785.29911502577,-3228.0706201156645,3228.0706201156645,8.576400748573924,2018-08
2018-08-18,28698.1,31078.501049738145,16160.262554828032,45996.739544648255,-2380.401049738146,2380.401049738146,8.294629434485719,2018-08
2018-08-19,29966.5,31742.52930658369,16824.290811673578,46660.7678014938,-1776.0293065836886,1776.0293065836886,5.926715854649988,2018-08
